Tipo,T1,T2,T3,T4,T5
Short,29.71,29.71,29.72,29.71,29.72
Long,53.65,53.64,53.65,53.64,53.64
Float,53.65,53.65,53.70,53.65,53.66
Double,103.63,103.63,103.64,103.64,103.64
