Tipo,T1,T2,T3,T4,T5
Short,3.57,3.57,3.57,3.57,3.57
Long,3.66,3.66,3.66,3.66,3.66
Float,3.66,3.66,3.66,3.66,3.66
Double,3.86,3.86,3.86,3.86,3.87
