Tipo,T1,T2,T3,T4,T5
Short,4.68,4.68,4.69,4.69,4.68
Long,5.14,5.15,5.14,5.15,5.14
Float,5.14,5.15,5.14,5.16,5.15
Double,5.67,5.67,5.67,5.67,5.67
