Tipo,T1,T2,T3,T4,T5
Short,4.07,4.06,4.05,4.04,4.05
Long,4.68,4.68,4.68,4.68,4.68
Float,4.69,4.69,4.69,4.69,4.69
Double,5.25,5.26,5.26,5.26,5.26
