Tipo,T1,T2,T3,T4,T5
Short,4.14,4.14,4.14,4.16,4.15
Long,4.55,4.20,4.20,4.20,4.19
Float,4.55,4.20,4.20,4.20,4.21
Double,4.61,4.26,4.26,4.26,4.26

