Tipo,T1,T2,T3,T4,T5
Short,5.92,5.92,5.92,5.92,5.92
Long,7.22,7.22,7.23,7.23,7.23
Float,7.23,7.22,7.22,7.23,7.22
Double,10.60,10.58,10.59,10.59,10.28
