Tipo,T1,T2,T3,T4,T5
Short,28.00,28.00,28.00,28.00,28.00
Long,52.30,52.30,52.30,52.29,52.30
Float,52.30,52.30,52.30,52.30,52.30
Double,101.13,101.13,101.13,101.13,101.13
