Tipo,T1,T2,T3,T4,T5
Short,4.29,4.29,4.29,4.30,4.30
Long,4.31,4.31,4.31,4.31,4.30
Float,4.32,4.31,4.31,4.31,4.31
Double,4.63,4.63,4.62,4.64,4.63
