Tipo,T1,T2,T3,T4,T5
Short,0.55445,0.562798,0.565186,0.558934,0.577687
Long,0.578512,0.582219,0.584317,0.589035,0.585155
Float,0.569965,0.559417,0.556296,0.560569,0.555369
Double,0.721698,0.736222,0.735067,0.728986,0.718166
