Tipo,T1,T2,T3,T4,T5
Short,0.001008,0.000958,0.000947,0.000948,0.000935
Long,0.000932,0.001057,0.001051,0.000926,0.001038
Float,0.00093,0.00113,0.001205,0.001119,0.001116
Double,0.000948,0.001154,0.001213,0.001091,0.001134
