Tipo,T1,T2,T3,T4,T5
Short,4.764893,4.788709,4.714192,4.80891,4.817641
Long,6.389529,6.476085,6.503416,6.494644,6.408402
Float,6.212573,6.204169,6.159966,6.250212,6.19554
Double,7.226947,7.134154,7.12266,7.131639,7.077742
