Tipo,T1,T2,T3,T4,T5
Short,74.27636,74.057142,73.659802,73.500501,73.951738
Long,83.450451,84.037444,84.037444,83.779713,83.780203
Float,81.834506,81.584807,82.34298,81.626276,82.453963
Double,97.884378,97.864734,97.727804,97.898516,97.756215
