Tipo,T1,T2,T3,T4,T5
Short,20.822,20.729,21.44,20.798,20.723
Long,22.558,22.493,23.494,22.636,22.834
Float,23.423,24.934,26.115,22.194,22.16
Double,38.695,38.581,38.686,38.813,38.553
