Tipo,T1,T2,T3,T4,T5
Short,0.603,0.586,0.627,0.596,0.605
Long,0.336,0.314,0.329,0.318,0.344
Float,0.325,0.316,0.31,0.305,0.316
Double,0.347,0.355,0.329,0.327,0.341
