Tipo,T1,T2,T3,T4,T5
Short,0.01600,0.00500,0.01700,0.02200,0.01700
Long,0.02200,0.01500,0.02100,0.01900,0.02000
Float,0.01600,0.02100,0.02000,0.02800,0.01200
Double,0.01700,0.01500,0.01400,0.00300,0.02200
