Tipo,T1,T2,T3,T4,T5
Short,0.007887,0.00899,0.008239,0.008667,0.007918
Long,0.00769,0.007505,0.008218,0.007888,0.008646
Float,0.007421,0.007861,0.007406,0.007909,0.007735
Double,0.008154,0.010258,0.008793,0.008563,0.008805
