Tipo,T1,T2,T3,T4,T5
Short,0.13000,0.12900,0.12000,0.11600,0.11600
Long,0.09800,0.09200,0.10900,0.10700,0.09900
Float,0.10000,0.10000,0.09900,0.08800,0.10400
Double,0.06600,0.08900,0.08200,0.06800,0.06600
