Tipo,T1,T2,T3,T4,T5,Tpromedio
double,0.721,0.7178,0.7178,0.7168,0.7177,0.7182
float,0.3922,0.388,0.3891,0.3891,0.3891,0.3895
long,0.9994,0.9892,0.9759,0.9841,0.982,0.9861
short,0.4362,0.4424,0.4311,0.4301,0.4301,0.434
