Tipo,T1,T2,T3,T4,T5,Tpromedio
double,0.0369,0.0317,0.0317,0.0317,0.0317,0.0328
float,0.0569,0.0544,0.0496,0.0513,0.0516,0.0528
long,0.043,0.0369,0.0369,0.0369,0.0369,0.0381
short,0.0602,0.0492,0.0526,0.051,0.0522,0.053
