Tipo,T1,T2,T3,T4,T5,Tpromedio
double,0.1157,0.1106,0.1096,0.1106,0.1106,0.1114
float,0.0625,0.0584,0.0584,0.0584,0.0584,0.0592
long,0.1372,0.1331,0.1331,0.1321,0.1341,0.1339
short,0.0625,0.0573,0.0584,0.0573,0.0584,0.0588
