Tipo,T1,T2,T3,T4,T5,Tpromedio
double,0.2314,0.2253,0.2243,0.2253,0.2232,0.2259
float,0.1147,0.1096,0.1096,0.1106,0.1106,0.111
long,0.2714,0.2693,0.2642,0.2682,0.2683,0.2683
short,0.1147,0.1096,0.1096,0.1096,0.1106,0.1108
