Tipo,T1,T2,T3,T4,T5,Tpromedio
double,0.4372,0.433,0.4321,0.4332,0.4332,0.4337
float,0.2171,0.2345,0.2263,0.2232,0.2243,0.2251
long,0.512,0.51,0.5048,0.5366,0.511,0.5149
short,0.2294,0.2253,0.2253,0.2253,0.2253,0.2261
