Tipo,T1,T2,T3,T4,T5,Tpromedio
double,1.4172,1.4131,1.4131,1.4131,1.4141,1.4141
float,0.7219,0.7168,0.7158,0.7137,0.7166,0.717
long,1.6712,1.664,1.664,1.6659,1.666,1.6662
short,0.7199,0.7168,0.7168,0.7166,0.7168,0.7174
