Tipo,T1,T2,T3,T4,T5
short,0.0534,0.0763,0.0730,0.0666,0.0628
long,0.0832,0.0784,0.0680,0.0666,0.0704
float,0.0588,0.0506,0.0531,0.0917,0.0597
double,0.0662,0.0637,0.0641,0.0639,0.0653
