Tipo,T1,T2,T3,T4,T5
short,0.09,0.09,0.09,0.09,0.09
long,0.38,0.38,0.38,0.38,0.38
float,0.19,0.19,0.19,0.19,0.19
double,0.38,0.38,0.38,0.38,0.38
