Tipo,T1,T2,T3,T4,T5
Short,9.63,9.63,9.63,9.64,9.64
Long,15.80,15.80,15.80,15.80,15.80
Float,15.80,15.80,15.80,15.80,15.80
Double,28.00,28.00,28.00,28.00,28.01
