Tipo,T1,T2,T3,T4,T5
Short,3.84,3.48,3.48,3.48,3.48
Long,3.87,3.51,3.51,3.51,3.51
Float,3.87,3.51,3.51,3.51,3.50
Double,3.93,3.56,3.56,3.57,3.56
