Tipo,T1,T2,T3,T4,T5
Short,5.07,5.01,5.02,5.01,5.01
Long,6.63,6.57,6.58,6.57,6.57
Float,6.64,6.57,6.58,6.58,6.57
Double,9.73,9.68,9.68,9.67,9.68
