Tipo,T1,T2,T3,T4,T5,Tavg
double,0.1137,0.1106,0.1096,0.1106,0.1106,0.111
float,0.0603,0.0584,0.0584,0.0584,0.0584,0.0587
long,0.1352,0.1331,0.1331,0.1311,0.1321,0.1329
short,0.0604,0.0584,0.0584,0.0575,0.0584,0.0586
