Tipo,T1,T2,T3,T4,T5,Tavg
double,1.407,1.4039,1.4039,1.4049,1.4039,1.4047
float,0.7188,0.7168,0.7167,0.7167,0.7168,0.7172
long,1.6609,1.6568,1.6579,1.6599,1.6568,1.6585
short,0.7178,0.7148,0.7158,0.7168,0.7168,0.7164
