Tipo,T1,T2,T3,T4,T5,Tavg
double,0.2293,0.2253,0.2263,0.2254,0.2263,0.2265
float,0.1116,0.1106,0.1096,0.1106,0.1106,0.1106
long,0.2703,0.2652,0.2673,0.2683,0.2662,0.2675
short,0.1116,0.1096,0.1096,0.1096,0.1096,0.11
