Tipo,T1,T2,T3,T4,T5,Tavg
double,0.0195,0.0195,0.0215,0.0215,0.0195,0.0203
float,0.0123,0.0123,0.0123,0.0123,0.0133,0.0125
long,0.0225,0.0297,0.0225,0.0225,0.0225,0.024
short,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
