Tipo,T1,T2,T3,T4,T5,Tavg
double,0.0317,0.0317,0.0317,0.0317,0.0317,0.0317
float,0.0236,0.0195,0.0205,0.0195,0.0184,0.0203
long,0.0388,0.0369,0.0369,0.0379,0.0379,0.0377
short,0.0195,0.0195,0.0205,0.0195,0.0205,0.0199
