Tipo,T1,T2,T3,T4,T5,Tavg
double,0.0604,0.0594,0.0594,0.0594,0.0594,0.0596
float,0.0338,0.0317,0.0317,0.0317,0.0317,0.0322
long,0.0737,0.0717,0.0707,0.0727,0.0717,0.0721
short,0.0328,0.0317,0.0307,0.0317,0.0317,0.0317
