Tipo,T1,T2,T3,T4,T5,Tavg
double,0.7526,0.7465,0.7558,0.7557,0.7558,0.7533
float,0.3901,0.3881,0.3891,0.3891,0.3891,0.3891
long,0.9861,0.9902,0.9851,0.9871,0.982,0.9861
short,0.4321,0.4301,0.4301,0.4301,0.4311,0.4307
