Tipo,T1,T2,T3,T4,T5
short,0.02,0.02,0.02,0.02,0.02
long,0.09,0.09,0.09,0.09,0.09
float,0.05,0.05,0.05,0.05,0.05
double,0.09,0.09,0.09,0.09,0.09
