Tipo,T1,T2,T3,T4,T5
short,0.0451,0.0427,0.0438,0.0444,0.0430
long,0.0563,0.0553,0.0527,0.0549,0.0652
float,0.0553,0.0436,0.0433,0.0447,0.0418
double,0.0605,0.0506,0.0506,0.0496,0.0517
