Tipo,T1,T2,T3,T4,T5
Short,0.066036,0.064046,0.065260,0.065264,0.065199
Long,0.064228,0.063542,0.063695,0.063468,0.063920
Float,0.063463,0.062436,0.064265,0.062492,0.063118
Double,0.074443,0.077679,0.074298,0.073373,0.073842

