Tipo,T1,T2,T3,T4,T5
Short,0.026,0.034,0.04,0.041,0.044
Long,0.033,0.042,0.043,0.033,0.032
Float,0.043,0.038,0.04,0.034,0.029
Double,0.033,0.047,0.04,0.03,0.03
