Tipo,T1,T2,T3,T4,T5
Short,2.025,2.013,2.038,2.02,2.063
Long,2.616,2.573,2.564,2.58,2.572
Float,2.585,2.606,2.585,2.57,2.554
Double,3.436,3.403,3.415,3.404,3.425
