Tipo,T1,T2,T3,T4,T5
short,0.0511,0.0434,0.0445,0.0433,0.0442
long,0.0604,0.0580,0.0523,0.0540,0.0547
float,0.0554,0.0447,0.0424,0.0453,0.0439
double,0.0628,0.0507,0.0510,0.0581,0.0711
